agent,workload,network,seen,condition,episode,seed,total_tasks_generated,num_completed,num_failed,completion_rate,avg_latency_ms,deadline_met_rate,total_energy_joules,final_time_ms,task_seed,duration_ms,truncated,num_decisions,episode_return,p95_latency_ms,late_completions,deadline_failures,sla_violations,rejections,fail_deadline_missed_while_running,raw_latency,raw_sla,raw_rejection,raw_balance,raw_energy,raw_utilization,w_latency,w_sla,w_rejection,w_balance,w_energy,w_utilization,fail_server_full_or_incompatible
Random,variable,normal,True,variable_normal,0,50000,100.0,43.0,57.0,0.43,962.0995345801952,0.9767441860465116,3040.193018453075,26390.0,50000.0,10000.0,0.0,100.0,-228.32851626290213,1805.34726490894,1.0,57.0,58.0,0.0,57.0,41.3702799869484,65.5,0.0,20.702915806153037,30.401930184530745,11.47884509324121,-20.6851399934742,-196.5,0.0,-6.210874741845914,-6.080386036906152,1.1478845093241212,0.0
Greedy,variable,normal,True,variable_normal,0,50000,100.0,48.0,52.0,0.48,956.5465274872955,0.9791666666666666,1934.8976305144515,15490.0,50000.0,10000.0,0.0,100.0,-215.71542320997938,1614.7917473524005,1.0,52.0,53.0,0.0,52.0,45.914233319390185,62.5,0.0,9.239460648471319,19.348976305144507,13.833269052859833,-22.957116659695092,-187.5,0.0,-2.7718381945413944,-3.869795261028903,1.383326905285984,0.0
PPO,variable,normal,True,variable_normal,0,50000,100.0,49.0,51.0,0.49,675.4995868105242,0.9795918367346939,3331.328540645641,29060.0,50000.0,10000.0,0.0,100.0,-213.25988551902532,1035.9944926158628,1.0,51.0,52.0,0.0,51.0,33.099479753715684,60.5,0.0,32.40238002683952,33.313285406456416,11.732254471756466,-16.549739876857842,-181.5,0.0,-9.720714008051853,-6.662657081291282,1.1732254471756463,0.0
FIFO,variable,normal,True,variable_normal,1,50001,108.0,4.0,104.0,0.037037037037037035,1359.6060641732968,1.0,7488.941032315039,69560.0,50001.0,10000.0,0.0,108.0,-383.9338216592645,1913.8432571829408,0.0,104.0,104.0,0.0,104.0,5.438424256693187,113.5,0.0,86.58847952081503,74.88941032315039,2.3981638995672183,-2.7192121283465935,-340.5,0.0,-25.976543856244543,-14.97788206463008,0.23981638995672186,0.0
RoundRobin,variable,normal,True,variable_normal,1,50001,108.0,42.0,66.0,0.3888888888888889,823.2742087931795,1.0,3847.368478311563,33800.0,50001.0,10000.0,0.0,108.0,-255.49108900844698,1368.910642617084,0.0,66.0,66.0,0.0,66.0,34.57751676931354,74.5,0.0,28.294653310134475,38.47368478311563,14.808023258732732,-17.28875838465677,-223.5,0.0,-8.488395993040344,-7.694736956623127,1.4808023258732734,0.0
Random,variable,normal,True,variable_normal,1,50001,108.0,38.0,70.0,0.35185185185185186,837.6654859142469,1.0,3695.398680526102,32620.0,50001.0,10000.0,0.0,108.0,-269.88446970473296,1382.30504756141,0.0,70.0,70.0,0.0,70.0,31.831288464741384,80.0,0.0,26.147717872305293,36.953986805261025,12.662872503815787,-15.915644232370692,-240.0,0.0,-7.844315361691586,-7.390797361052206,1.2662872503815787,0.0
Greedy,variable,normal,True,variable_normal,1,50001,108.0,42.0,66.0,0.3888888888888889,800.2714340449241,1.0,1788.4702284643326,14450.0,50001.0,10000.0,0.0,108.0,-257.12102811695956,1238.3349579120438,0.0,66.0,66.0,0.0,66.0,33.61140022988682,78.0,0.0,14.01112119264366,17.884702284643332,14.649488127056799,-16.80570011494341,-234.0,0.0,-4.203336357793101,-3.576940456928665,1.4649488127056804,0.0
PPO,variable,normal,True,variable_normal,1,50001,108.0,47.0,61.0,0.4351851851851852,710.9084334332412,1.0,3368.4035530861697,29500.0,50001.0,10000.0,0.0,108.0,-252.786033356425,1320.7733101903684,0.0,61.0,61.0,0.0,61.0,33.41269637136233,72.5,0.0,43.80478157497437,33.68403553086169,12.985564079208297,-16.706348185681165,-217.5,0.0,-13.141434472492305,-6.736807106172339,1.2985564079208287,0.0
FIFO,variable,normal,True,variable_normal,2,50002,81.0,2.0,79.0,0.024691358024691357,1110.877669284632,1.0,4617.828904315742,42940.0,50002.0,10000.0,0.0,81.0,-282.4805344267375,1178.5747759194387,0.0,79.0,79.0,0.0,79.0,2.221755338569264,86.0,0.0,47.43783079929777,46.17828904315742,0.9735029096796829,-1.110877669284632,-258.0,0.0,-14.231349239789338,-9.235657808631483,0.09735029096796832,0.0
RoundRobin,variable,normal,True,variable_normal,2,50002,81.0,43.0,38.0,0.5308641975308642,744.5573589889838,0.9767441860465116,2505.258360775856,21180.0,50002.0,10000.0,0.0,81.0,-160.90913662741795,1063.3109637431103,1.0,38.0,39.0,0.0,38.0,32.015966436526305,46.0,0.0,9.695395780267226,25.052583607758557,10.179820464771383,-16.007983218263153,-138.0,0.0,-2.9086187340801692,-5.010516721551712,1.0179820464771385,0.0
