scheduler,workload,network,task_seed,num_tasks,episode_return,return_per_task,on_time_rate,completion_rate,avg_latency_ms,energy_per_task_j
ECT,heavy,congested,700000112,174,-581.3744709874932,-3.341232591882145,0.022988505747126436,0.022988505747126436,1316.4609111984014,58.086051358461816
FIFO,heavy,congested,700000113,194,-792.6536085277436,-4.0858433429265135,0.010309278350515464,0.010309278350515464,1174.3702905731902,208.60968388681263
RoundRobin,heavy,congested,700000113,194,-707.27908134061,-3.645768460518608,0.030927835051546393,0.030927835051546393,1268.6043165105627,61.54716203061174
Random,heavy,congested,700000113,194,-706.1574274305808,-3.639986739332891,0.03608247422680412,0.03608247422680412,1647.8998661024216,59.28495563495986
Greedy,heavy,congested,700000113,194,-668.9806274074821,-3.4483537495231036,0.03608247422680412,0.03608247422680412,1273.6973501644595,44.31803193203801
ECT,heavy,congested,700000113,194,-687.6919175308112,-3.544803698612429,0.030927835051546393,0.030927835051546393,1333.4876267724544,53.218110290310015
FIFO,heavy,congested,700000114,207,-829.8310730897847,-4.008845763718766,0.004830917874396135,0.004830917874396135,2965.333688880595,222.41332955582976
RoundRobin,heavy,congested,700000114,207,-735.4053177713396,-3.552682694547534,0.043478260869565216,0.043478260869565216,1400.921687444233,72.02524308576703
Random,heavy,congested,700000114,207,-725.0619555659969,-3.5027147611883906,0.043478260869565216,0.043478260869565216,1259.8875645137678,55.526165271592134
Greedy,heavy,congested,700000114,207,-692.9418234924243,-3.3475450410262044,0.033816425120772944,0.033816425120772944,1123.1769944222074,47.298366337752825
ECT,heavy,congested,700000114,207,-714.6922783140825,-3.4526197020003986,0.043478260869565216,0.043478260869565216,1136.791317387425,56.536076471037006
FIFO,heavy,congested,700000115,166,-724.8269569655677,-4.366427451599805,0.0,0.0,0.0,230.301385542172
RoundRobin,heavy,congested,700000115,166,-645.2361496967287,-3.886964757209209,0.018072289156626505,0.018072289156626505,1309.7782644872168,79.82914014811202
Random,heavy,congested,700000115,166,-670.9012186542868,-4.041573606351125,0.012048192771084338,0.012048192771084338,1473.2344776511272,101.81371015853644
